complex_id,formula,charge,spin_setting,n_atoms,structure_path,generation_method,notes
ferrocene,Fe(C5H5)2,0,closed_shell_phase1,21,D:\Research\Dr.Kulik_MIT\structures\initial_xyz\ferrocene_initial.xyz,D5h sandwich from Fe-Cp/C-C/C-H literature-typical bond lengths,INITIAL GUESS geometry from symmetry + literature-typical bond lengths - not a verified reference value
ni_co4,Ni(CO)4,0,closed_shell_phase1,9,D:\Research\Dr.Kulik_MIT\structures\initial_xyz\ni_co4_initial.xyz,Td tetrahedral from literature-typical Ni-C/C-O bond lengths,INITIAL GUESS geometry from symmetry + literature-typical bond lengths - not a verified reference value
cr_co6,Cr(CO)6,0,closed_shell_phase1,13,D:\Research\Dr.Kulik_MIT\structures\initial_xyz\cr_co6_initial.xyz,Oh octahedral from literature-typical Cr-C/C-O bond lengths,INITIAL GUESS geometry from symmetry + literature-typical bond lengths - not a verified reference value
fe_co5,Fe(CO)5,0,closed_shell_phase1,11,D:\Research\Dr.Kulik_MIT\structures\initial_xyz\fe_co5_initial.xyz,D3h trigonal bipyramidal from literature-typical axial/equatorial Fe-C/C-O bond lengths,INITIAL GUESS geometry from symmetry + literature-typical bond lengths - not a verified reference value
