rank,candidate_id,predicted_value,uncertainty,failure_risk,failure_penalty,acquisition_score,risk_flag,selection_reason,material_id,failure_label
1,81,0.0,0.0,0.024125622679910697,0.024125622679910697,0.024125622679910697,low,ranked by failure-aware LCB soft penalty,aln_2d,success
2,82,0.0,0.0,0.024125622679910697,0.024125622679910697,0.024125622679910697,low,ranked by failure-aware LCB soft penalty,aln_2d,success
3,83,0.0,0.0,0.024125622679910697,0.024125622679910697,0.024125622679910697,low,ranked by failure-aware LCB soft penalty,aln_2d,success
4,84,0.0,0.0,0.024125622679910697,0.024125622679910697,0.024125622679910697,low,ranked by failure-aware LCB soft penalty,aln_2d,success
5,117,0.0,0.0,0.025853630305998854,0.025853630305998854,0.025853630305998854,low,ranked by failure-aware LCB soft penalty,bulk_au,success
6,118,0.0,0.0,0.025853630305998854,0.025853630305998854,0.025853630305998854,low,ranked by failure-aware LCB soft penalty,bulk_au,success
7,119,0.0,0.0,0.025853630305998854,0.025853630305998854,0.025853630305998854,low,ranked by failure-aware LCB soft penalty,bulk_au,success
8,120,0.0,0.0,0.025853630305998854,0.025853630305998854,0.025853630305998854,low,ranked by failure-aware LCB soft penalty,bulk_au,success
9,121,0.0,0.0,0.025853630305998854,0.025853630305998854,0.025853630305998854,low,ranked by failure-aware LCB soft penalty,bulk_au,success
10,122,0.0,0.0,0.025853630305998854,0.025853630305998854,0.025853630305998854,low,ranked by failure-aware LCB soft penalty,bulk_au,success
11,135,0.0,0.0,0.058683712020475065,0.058683712020475065,0.058683712020475065,low,ranked by failure-aware LCB soft penalty,bulk_cspbi3,success
12,136,0.0,0.0,0.058683712020475065,0.058683712020475065,0.058683712020475065,low,ranked by failure-aware LCB soft penalty,bulk_cspbi3,success
13,137,0.0,0.0,0.058683712020475065,0.058683712020475065,0.058683712020475065,low,ranked by failure-aware LCB soft penalty,bulk_cspbi3,success
14,138,0.0,0.0,0.058683712020475065,0.058683712020475065,0.058683712020475065,low,ranked by failure-aware LCB soft penalty,bulk_cspbi3,success
15,201,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
16,202,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
17,203,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
18,205,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
19,206,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
20,207,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
21,208,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
22,209,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
23,210,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
24,211,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
25,213,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
26,215,0.0,0.0,0.13357801323360807,0.13357801323360807,0.13357801323360807,elevated,ranked by failure-aware LCB soft penalty,bulk_fe,success
