failure_penalty,rank,record_id,material_id,failure_label,true_success,predicted_value,uncertainty,failure_risk,failure_aware_score
0.0,1,871,n2,success,1,0.0,0.0,0.04331880958424161,0.0
0.0,2,147,bulk_cu,job_not_completed,0,0.0,0.0,0.9590077013956235,0.0
0.0,3,811,mos2,success,1,0.0,0.0,4.3010752688088516e-05,0.0
0.0,4,895,o_on_ni111,success,1,0.0,0.0,0.25531463479255956,0.0
0.0,5,223,bulk_fe,success,1,0.0,0.0,0.01830583512292039,0.0
0.0,6,614,co_on_pt111,qe_error,0,0.0,0.0,0.9771047836137583,0.0
0.0,7,749,h_on_cu111,success,1,0.0,0.0,0.2657347490963564,0.0
0.0,8,226,bulk_fe,success,1,0.0,0.0,0.015349589600083813,0.0
0.0,9,510,ch4,job_not_completed,0,0.0,0.0,0.7224495967403417,0.0
0.0,10,203,bulk_fe,success,1,0.0,0.0,0.01830583512292039,0.0
0.0,11,235,bulk_ge,success,1,0.0,0.0,0.15964661901142174,0.0
0.0,12,492,bulk_tio2,success,1,0.0,0.0,0.0015188172043010262,0.0
0.0,13,201,bulk_fe,success,1,0.0,0.0,0.01830583512292039,0.0
0.0,14,539,co,success,1,0.0,0.0,0.042681361674308915,0.0
0.0,15,891,o_on_cu111,success,1,0.0,0.0,0.012857294100372618,0.0
0.0,16,900,o_on_ni111,qe_error,0,0.0,0.0,0.9592214366125992,0.0
0.0,17,920,o_on_ni111,qe_error,0,0.0,0.0,0.9592214366125992,0.0
0.0,18,708,graphene_generated,success,1,0.0,0.0,0.0780809524861309,0.0
0.0,19,836,mos2,success,1,0.0,0.0,4.3010752688088516e-05,0.0
0.0,20,963,o_on_ni111,scf_not_converged,0,0.0,0.0,0.25531463479255956,0.0
0.0,21,52,h2_r2p000000,job_not_completed,0,0.0,0.0,0.899132182884137,0.0
0.0,22,797,mos2,success,1,0.0,0.0,4.3010752688088516e-05,0.0
0.0,23,455,bulk_si_generated,success,1,0.0,0.0,0.051527093262967005,0.0
0.0,24,543,co_on_cu111,success,1,0.0,0.0,0.01596122788067289,0.0
0.0,25,413,bulk_ni,success,1,0.0,0.0,0.007781763935711283,0.0
0.0,26,754,h_on_cu111,success,1,0.0,0.0,0.2657347490963564,0.0
0.0,27,780,h_on_pt111,success,1,0.0,0.0,0.011938990888375578,0.0
0.0,28,932,o_on_ni111,qe_error,0,0.0,0.0,0.9592214366125992,0.0
0.0,29,735,h2o,success,1,0.0,0.0,0.113800607994329,0.0
0.0,30,51,h2_r2p000000,job_not_completed,0,0.0,0.0,0.899132182884137,0.0
0.0,31,370,bulk_nacoo2,success,1,0.0,0.0,0.03962372494413746,0.0
0.0,32,552,co_on_cu111,success,1,0.0,0.0,0.01596122788067289,0.0
0.0,33,776,h_on_pt111,success,1,0.0,0.0,0.2585982011743957,0.0
0.0,34,450,bulk_si_generated,success,1,0.0,0.0,0.051527093262967005,0.0
0.0,35,207,bulk_fe,success,1,0.0,0.0,0.01830583512292039,0.0
0.0,36,715,h2_generated,success,1,0.0,0.0,0.3522690718267244,0.0
0.0,37,902,o_on_ni111,qe_error,0,0.0,0.0,0.9592214366125992,0.0
0.0,38,739,h2o_generated,success,1,0.0,0.0,0.025920090212289915,0.0
0.0,39,958,o_on_ni111,success,1,0.0,0.0,0.25531463479255956,0.0
0.0,40,402,bulk_nacoo2,scf_not_converged,0,0.0,0.0,0.833177939910468,0.0
0.0,41,114,bulk_alas,success,1,0.0,0.0,0.0029877437579733934,0.0
0.0,42,202,bulk_fe,success,1,0.0,0.0,0.01830583512292039,0.0
0.0,43,454,bulk_si_generated,success,1,0.0,0.0,0.051527093262967005,0.0
0.0,44,716,h2_generated,success,1,0.0,0.0,0.3522690718267244,0.0
0.0,45,719,h2_generated,success,1,0.0,0.0,0.3522690718267244,0.0
0.0,46,420,bulk_nial,success,1,0.0,0.0,0.007322415472714838,0.0
0.0,47,24,h2_r1p984848,job_not_completed,0,0.0,0.0,0.8977261580587594,0.0
0.0,48,377,bulk_nacoo2,scf_not_converged,0,0.0,0.0,0.833177939910468,0.0
0.0,49,666,co_on_pt111,qe_error,0,0.0,0.0,0.9771047836137583,0.0
0.0,50,509,ch4,job_not_completed,0,0.0,0.0,0.7224495967403417,0.0
0.5,1,811,mos2,success,1,0.0,0.0,4.3010752688088516e-05,2.1505376344044258e-05
0.5,2,836,mos2,success,1,0.0,0.0,4.3010752688088516e-05,2.1505376344044258e-05
0.5,3,797,mos2,success,1,0.0,0.0,4.3010752688088516e-05,2.1505376344044258e-05
0.5,4,492,bulk_tio2,success,1,0.0,0.0,0.0015188172043010262,0.0007594086021505131
0.5,5,114,bulk_alas,success,1,0.0,0.0,0.0029877437579733934,0.0014938718789866967
0.5,6,420,bulk_nial,success,1,0.0,0.0,0.007322415472714838,0.003661207736357419
