material_id,qe_input_path,qe_output_path,converged,job_done,scf_iterations,final_energy_ry,energy_ev,max_force,pressure_kbar,wall_time,failure_reason,ecutwfc,ecutrho,kpoints,smearing,mixing_beta,pseudo_family,pseudopotentials,calculation_hash
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p0000_pid8100_att2/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p0000_pid8100_att2/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,2 2 2 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",7ceb813eb76b97fca864fd4d58907633d506e9fa365e7890ad3ab54acbe9cbec
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p0000_pid8100_att3/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p0000_pid8100_att3/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,2 2 2 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",46275cac4aee1c4e4435144306b4596b1b562196d49509efe84c5ad34183942b
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p0300_pid8100_att1/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p0300_pid8100_att1/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,2 2 2 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",ad9bc3d5e930b5fbd798d666515603b6f2778182616775bcc7dd7f433e4bb380
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p0300_pid8100_att2/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p0300_pid8100_att2/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,2 2 2 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",973e932f3d8dc3ad3f35570d7295fa539c52ad1b724b13eea705f9b963e49ab8
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p0300_pid8100_att3/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p0300_pid8100_att3/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,2 2 2 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",757b9d46327d37fee43f7a769fc1b0b0476f3b693017a3522dbb4bcd15e59138
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p4700_pid8628_att1/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p4700_pid8628_att1/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",43867661451cba693d3a80f2897eac131c1e3dc3f6e7151b43f06c9372f15c19
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p4700_pid8628_att2/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p4700_pid8628_att2/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",e0b8d598fd71450cea7604a34870f5e05fe56e6bc0530cb386c0506131adcb4b
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p4700_pid8628_att3/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p4700_pid8628_att3/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",996814895db8fe4569a1330f263eb4f1f5fce03635fffb7d951beb0a879a7690
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p5000_pid8628_att1/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p5000_pid8628_att1/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",3ba906064bb3b230b6c47cb9d4dc9dbaab1afcbedcbaa8c904ef4e177c4f629c
bulk_li2nav2po43,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p5000_pid8628_att2/espresso.pwi,outputs/qe_runs_bulk_li2nav2po43/a8p2000_c21p5000_pid8628_att2/espresso.pwo,False,False,,,,,,,geometry_overlap,50.0,400.0,1 1 1 0 0 0,gaussian,0.4,PSLibrary,"{""Li"":""li_pbe_v1.4.uspp.F.UPF"",""Na"":""na_pbe_v1.5.uspp.F.UPF"",""O"":""O.pbe-n-kjpaw_psl.0.1.UPF"",""P"":""P.pbe-n-rrkjus_psl.1.0.0.UPF"",""V"":""v_pbe_v1.4.uspp.F.UPF""}",9a68c01917f755ca8e5737118465faf07a1841d366ea5cc0ef58132ba24256d6
