a,energy,status
4.0,-513.703658759062,ok
4.018421052631579,-513.730321187273,ok
4.036842105263158,-513.754400183706,ok
4.0552631578947365,-513.776010699452,ok
4.073684210526316,-513.795225490948,ok
4.092105263157895,-513.812175359915,ok
4.110526315789474,-513.826917127124,ok
4.128947368421053,-513.839552835265,ok
4.147368421052631,-513.850166193357,ok
4.16578947368421,-513.858826658457,ok
4.184210526315789,-513.865627582619,ok
4.2026315789473685,-513.870634851407,ok
4.221052631578947,-513.873908942121,ok
4.239473684210526,-513.875541012897,ok
4.257894736842105,-513.875590180466,ok
4.276315789473684,-513.874118452769,ok
4.294736842105263,-513.871185252667,ok
4.313157894736841,-513.866848319314,ok
4.3315789473684205,-513.861177398888,ok
4.35,-513.854214754070,ok
