a,energy,status
5.2,-155.232525155630,ok
5.221052631578948,-155.256010841852,ok
5.242105263157895,-155.277185652321,ok
5.2631578947368425,-155.296128125893,ok
5.28421052631579,-155.312913876201,ok
5.3052631578947365,-155.327615676690,ok
5.326315789473684,-155.340297882283,ok
5.347368421052631,-155.351043232594,ok
5.368421052631579,-155.359913956655,ok
5.389473684210526,-155.366976450245,ok
5.410526315789474,-155.372295748570,ok
5.431578947368421,-155.375934284750,ok
5.4526315789473685,-155.377953709575,ok
5.473684210526316,-155.378414568375,ok
5.494736842105263,-155.377374617312,ok
5.51578947368421,-155.374890847228,ok
5.536842105263157,-155.371018599276,ok
5.557894736842105,-155.365812041115,ok
5.578947368421052,-155.359324149910,ok
5.6,-155.351606066055,ok
