key,name,reason,action
bulk_lifepo4,LiFePO4,Replaced by LiMnPO4 in the 50-system benchmark after three convergence failures; not part of the clean benchmark set.,exclude
bulk_li2nav2po43,NASICON Li2NaV2(PO4)3,Run status unconfirmed; no parsed FINAL RESULT in clean set.,exclude pending verification
